UF;NACIONALIDADE;CLASSIFICACAO;QTD
PR;VENEZUELA;Temporário;30708
PR;VENEZUELA;Residente;13580
PR;ITÁLIA;Residente;1781
PR;COLÔMBIA;Temporário;1510
PR;HAITI;Residente;18933
PR;ALEMANHA;Residente;1701
PR;COLÔMBIA;Residente;2203
PR;CUBA;Provisório;3244
PR;CABO VERDE;Residente;27
PR;PARAGUAI;Residente;9844
PR;ESTADOS UNIDOS;Residente;1413
PR;SÍRIA;Residente;723
PR;CHINA;Residente;3263
PR;PORTUGAL;Residente;4020
PR;BOLÍVIA;Residente;889
PR;POLÔNIA;Residente;807
PR;AFEGANISTÃO;Temporário;326
PR;NOVA ZELÂNDIA;Residente;32
PR;HAITI;Temporário;3151
PR;PERU;Residente;1396
PR;ISLÂNDIA;Residente;6
PR;CHILE;Residente;1548
PR;SUÉCIA;Residente;128
PR;ARGENTINA;Residente;5692
PR;VENEZUELA;Provisório;1324
PR;JAPÃO;Residente;3256
PR;EQUADOR;Provisório;11
PR;CHINA;Temporário;120
PR;PAÍSES BAIXOS;Residente;567
PR;COSTA RICA;Residente;26
PR;BOLÍVIA;Temporário;221
PR;FRANÇA;Residente;775
PR;ROMÊNIA;Residente;105
PR;ESPANHA;Residente;1394
PR;BÉLGICA;Residente;154
PR;NIGÉRIA;Residente;131
PR;MÉXICO;Residente;316
PR;LÍBANO;Residente;3291
PR;MAURITÂNIA;Residente;6
PR;EQUADOR;Temporário;125
PR;REP. DOMINICANA;Temporário;14
PR;SUÍCA;Residente;294
PR;GUATEMALA;Residente;22
PR;URUGUAI;Residente;975
PR;HUNGRIA;Residente;45
PR;PERU;Temporário;478
PR;GUINÉ BISSAU;Residente;129
PR;SERVIA E MONTENEGRO;Residente;54
PR;RÚSSIA;Provisório;46
PR;REINO UNIDO;Residente;463
PR;ITÁLIA;Temporário;43
PR;EQUADOR;Residente;220
PR;MÉXICO;Temporário;48
PR;GUINÉ BISSAU;Temporário;70
PR;ESTADOS UNIDOS;Temporário;182
PR;SÉRVIA;Residente;16
PR;URUGUAI;Temporário;9
PR;TURQUIA;Residente;57
PR;RÚSSIA;Residente;234
PR;HONDURAS;Temporário;27
PR;CUBA;Residente;1029
PR;PORTO RICO;Residente;2
PR;ESLOVÊNIA;Residente;5
PR;ANGOLA;Residente;394
PR;AUSTRÁLIA;Residente;78
PR;PAQUISTÃO;Residente;145
PR;DINAMARCA;Residente;72
PR;NICARÁGUA;Provisório;4
PR;CORÉIA DO SUL;Residente;484
PR;TUNÍSIA;Residente;46
PR;INDIA;Residente;304
PR;HONDURAS;Residente;23
PR;MARROCOS;Provisório;71
PR;UCRÂNIA;Residente;154
PR;LÍBANO;Provisório;320
PR;REP. DOMINICANA;Residente;86
PR;REP. DOMINICANA;Provisório;27
PR;ANGOLA;Temporário;169
PR;ISRAEL;Residente;51
PR;ESLOVÁQUIA;Residente;12
PR;CANADÁ;Residente;237
PR;REPÚBLICA DEMOCRÁTICA DO CONGO;Provisório;12
PR;MARROCOS;Residente;150
PR;MONGÓLIA;Residente;1
PR;CORÉIA DO SUL;Temporário;6
PR;LÍBIA;Residente;119
PR;AUSTRIA;Residente;151
PR;INDIA;Temporário;129
PR;SÍRIA;Temporário;19
PR;MALÁSIA;Temporário;3
PR;PARAGUAI;Temporário;5703
PR;GRÉCIA;Residente;58
PR;TUNÍSIA;Provisório;28
PR;PANAMÁ;Temporário;19
PR;FRANÇA;Temporário;89
PR;ANGOLA;Provisório;60
PR;APÁTRIDA;Residente;139
PR;PALESTINA;Residente;76
PR;FINLÂNDIA;Residente;39
PR;Montenegro;Residente;1
PR;MOÇAMBIQUE;Residente;41
PR;JAPÃO;Temporário;49
PR;LETÔNIA;Residente;17
PR;IRÃ;Residente;79
PR;CHILE;Temporário;205
PR;SENEGAL;Residente;743
PR;ARGENTINA;Temporário;141
PR;CONGO;Residente;59
PR;REPÚBLICA TCHECA;Residente;23
PR;AFRICA DO SUL;Residente;48
PR;UCRÂNIA;Temporário;169
PR;ARGÉLIA;Residente;18
PR;EGITO;Residente;149
PR;BÉLGICA;Temporário;7
PR;INDONÉSIA;Residente;44
PR;TOGO;Temporário;7
PR;IÊMEN;Residente;52
PR;ARMÊNIA;Residente;2
PR;EL SALVADOR;Residente;57
PR;ESTADOS UNIDOS;Provisório;2
PR;FILIPINAS;Residente;125
PR;NEPAL;Temporário;2
PR;ARGENTINA;Provisório;13
PR;QUÊNIA;Temporário;3
PR;GUATEMALA;Temporário;15
PR;CUBA;Temporário;104
PR;IRLANDA;Residente;34
PR;NICARÁGUA;Temporário;14
PR;COSTA RICA;Temporário;10
PR;LITUÂNIA;Residente;38
PR;BANGLADESH;Residente;874
PR;PERU;Provisório;16
PR;SÍRIA;Provisório;52
PR;BÓSNIA-HERZEGOVINA;Residente;2
PR;NORUEGA;Temporário;2
PR;PAQUISTÃO;Temporário;5
PR;COLÔMBIA;Provisório;58
PR;NIGÉRIA;Temporário;5
PR;REPÚBLICA DEMOCRÁTICA DO CONGO;Temporário;7
PR;ESTÔNIA;Residente;12
PR;SUDÃO;Residente;24
PR;NICARÁGUA;Residente;20
PR;UNIÃO SOVIÉTICA;Residente;9
PR;BELARUS;Residente;17
PR;BENIN;Temporário;21
PR;ZÂMBIA;Residente;1
PR;JORDÂNIA;Residente;121
PR;CROÁCIA;Residente;8
PR;REPÚBLICA DEMOCRÁTICA DO CONGO;Residente;28
PR;BENIN;Residente;40
PR;MOÇAMBIQUE;Temporário;71
PR;IRAQUE;Residente;27
PR;SENEGAL;Temporário;197
PR;PANAMÁ;Residente;37
PR;COSTA RICA;Provisório;3
PR;PALESTINA;Provisório;12
PR;EGITO;Provisório;17
PR;BUTÃO;Residente;2
PR;GEÓRGIA;Residente;4
PR;ALEMANHA;Temporário;52
PR;NEPAL;Residente;9
PR;GUINÉ EQUATORIAL;Temporário;13
PR;EL SALVADOR;Temporário;27
PR;IÊMEN;Provisório;7
PR;BULGÁRIA;Residente;17
PR;IRÃ;Provisório;3
PR;MALTA;Residente;23
PR;CANADÁ;Temporário;9
PR;AUSTRIA;Temporário;9
PR;GUINÉ;Residente;52
PR;NIGÉRIA;Provisório;33
PR;BHUTAN;Residente;2
PR;QUÊNIA;Residente;6
PR;POLÔNIA;Temporário;9
PR;AFEGANISTÃO;Residente;7
PR;GUIANA;Temporário;16
PR;NORUEGA;Residente;39
PR;MÉXICO;Provisório;5
PR;TAILÂNDIA;Residente;7
PR;BANGLADESH;Provisório;79
PR;RÚSSIA;Temporário;14
PR;PORTUGAL;Temporário;18
PR;HONG-KONG (R.A.E.);Residente;4
PR;ZÂMBIA;Temporário;1
PR;MALAVI;Temporário;1
PR;TURCAS E CAICOS;Residente;2
PR;GANA;Residente;87
PR;CAZAQUISTÃO;Residente;1
PR;TAILÂNDIA;Temporário;10
PR;TOGO;Residente;19
PR;PAÍSES BAIXOS;Temporário;9
PR;CONGO;Temporário;10
PR;GUINÉ BISSAU;Provisório;14
PR;SUÍCA;Temporário;8
PR;TAIWAN, PROVINCIA DA CHINA;Residente;43
PR;BENIN;Provisório;5
PR;SUÉCIA;Temporário;20
PR;FIJI, ILHAS;Residente;1
PR;GABÃO;Temporário;3
PR;MOÇAMBIQUE;Provisório;6
PR;SÉRVIA;Temporário;1
PR;COSTA DO MARFIM;Temporário;6
PR;PALESTINA;Temporário;1
PR;ESPANHA;Temporário;10
PR;TUNÍSIA;Temporário;2
PR;VIETINA;Residente;5
PR;HAITI;Provisório;11
PR;GUIANA;Residente;5
PR;GUINÉ EQUATORIAL;Residente;4
PR;SERRA LEOA;Residente;92
PR;GANA;Provisório;8
PR;INDIA;Provisório;4
PR;INDONÉSIA;Temporário;9
PR;ARGÉLIA;Provisório;1
PR;CINGAPURA;Residente;9
PR;ZIMBÁBUE;Temporário;2
PR;LÍBIA;Provisório;5
PR;EL SALVADOR;Provisório;1
PR;HUNGRIA;Temporário;1
PR;MARROCOS;Temporário;2
PR;PARAGUAI;Fronteiriço;1335
PR;SAO TOMÉ E PRÍNCIPE;Temporário;5
PR;MALÁSIA;Residente;14
PR;UGANDA;Provisório;2
PR;AFEGANISTÃO;Provisório;7
PR;TCHECOSLOVAQUIA;Residente;11
PR;IRÃ;Temporário;17
PR;CHINA;Provisório;15
PR;CONGO;Provisório;8
PR;CABO VERDE;Temporário;10
PR;NAMÍBIA;Residente;1
PR;GANA;Temporário;15
PR;SAO TOMÉ E PRÍNCIPE;Residente;10
